Fecha,Equipo local,Equipo visitante,Resultado,Jornada,Link
"May 4, 2023",Bergischer HC,SC DHfK Leipzig,32 - 28,28,https://www.daikin-hbl.de/en/match/4daa1ad1-3961-11ef-a8ed-7fa33ac8682b
"May 3, 2023",TSV Hannover-Burgdorf,VfL Gummersbach,28 - 27,28,https://www.daikin-hbl.de/en/match/4d590f8e-3961-11ef-b73f-7fa33ac8682b
"May 3, 2023",Rhein-Neckar Löwen,THW Kiel,27 - 31,28,https://www.daikin-hbl.de/en/match/4d673bfc-3961-11ef-8b6c-7fa33ac8682b
"May 3, 2023",FRISCH AUF! Göppingen,ASV Hamm-Westfalen,39 - 32,28,https://www.daikin-hbl.de/en/match/4d896d11-3961-11ef-a829-7fa33ac8682b
"May 3, 2023",TVB Stuttgart,Füchse Berlin,32 - 28,28,https://www.daikin-hbl.de/en/match/4d99deb1-3961-11ef-bd6a-7fa33ac8682b
"May 3, 2023",HC Erlangen,SC Magdeburg,23 - 38,28,https://www.daikin-hbl.de/en/match/4db72ab6-3961-11ef-b870-7fa33ac8682b
"May 3, 2023",GWD Minden,Handball Sport Verein Hamburg,31 - 35,28,https://www.daikin-hbl.de/en/match/4dc506ca-3961-11ef-920e-7fa33ac8682b
"Apr 23, 2023",HC Erlangen,GWD Minden,29 - 28,20,https://www.daikin-hbl.de/en/match/4336f40c-3961-11ef-93a7-1fafd93a56d6
"Apr 23, 2023",SC Magdeburg,TSV Hannover-Burgdorf,31 - 30,27,https://www.daikin-hbl.de/en/match/4cd5e201-3961-11ef-b902-7fa33ac8682b
"Apr 23, 2023",Füchse Berlin,Rhein-Neckar Löwen,38 - 24,27,https://www.daikin-hbl.de/en/match/4ce4eb31-3961-11ef-bf39-7fa33ac8682b
"Apr 23, 2023",VfL Gummersbach,HSG Wetzlar,37 - 30,27,https://www.daikin-hbl.de/en/match/4d2e5bae-3961-11ef-b162-7fa33ac8682b
"Apr 23, 2023",THW Kiel,SG Flensburg-Handewitt,29 - 19,27,https://www.daikin-hbl.de/en/match/4cc55494-3961-11ef-8117-7fa33ac8682b
"Apr 22, 2023",TBV Lemgo Lippe,Bergischer HC,38 - 28,27,https://www.daikin-hbl.de/en/match/4d11bd75-3961-11ef-80bd-7fa33ac8682b
"Apr 20, 2023",MT Melsungen,HC Erlangen,31 - 18,27,https://www.daikin-hbl.de/en/match/4cf41a44-3961-11ef-973b-7fa33ac8682b
"Apr 20, 2023",SC DHfK Leipzig,TVB Stuttgart,25 - 30,27,https://www.daikin-hbl.de/en/match/4d0211e2-3961-11ef-ab53-7fa33ac8682b
"Apr 20, 2023",ASV Hamm-Westfalen,GWD Minden,31 - 26,27,https://www.daikin-hbl.de/en/match/4d20ce9f-3961-11ef-b401-7fa33ac8682b
"Apr 20, 2023",Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,31 - 28,27,https://www.daikin-hbl.de/en/match/4d3bbd38-3961-11ef-9ddb-7fa33ac8682b
"Apr 9, 2023",Rhein-Neckar Löwen,VfL Gummersbach,37 - 42,26,https://www.daikin-hbl.de/en/match/4c67c7ee-3961-11ef-8959-7fa33ac8682b
"Apr 9, 2023",Bergischer HC,Handball Sport Verein Hamburg,37 - 34,26,https://www.daikin-hbl.de/en/match/4c981a2b-3961-11ef-88a5-7fa33ac8682b
"Apr 9, 2023",HC Erlangen,ASV Hamm-Westfalen,37 - 27,26,https://www.daikin-hbl.de/en/match/4ca73762-3961-11ef-ad31-7fa33ac8682b
"Apr 9, 2023",GWD Minden,TBV Lemgo Lippe,36 - 35,26,https://www.daikin-hbl.de/en/match/4cb625af-3961-11ef-a224-7fa33ac8682b
"Apr 9, 2023",THW Kiel,SC Magdeburg,34 - 34,26,https://www.daikin-hbl.de/en/match/4c36d211-3961-11ef-a014-7fa33ac8682b
"Apr 6, 2023",Bergischer HC,SC Magdeburg,34 - 38,8,https://www.daikin-hbl.de/en/match/36396a10-3961-11ef-835c-eda1a7fb9e81
"Apr 6, 2023",SG Flensburg-Handewitt,SC DHfK Leipzig,30 - 27,26,https://www.daikin-hbl.de/en/match/4c466503-3961-11ef-b34f-7fa33ac8682b
"Apr 6, 2023",TSV Hannover-Burgdorf,Füchse Berlin,32 - 33,26,https://www.daikin-hbl.de/en/match/4c575ff5-3961-11ef-8170-7fa33ac8682b
