Fecha,Equipo local,Equipo visitante,Resultado,Jornada,Link, victoria_local
"May 4, 2025",Füchse Berlin,SG BBM Bietigheim,42 - 30,28,https://www.daikin-hbl.de/en/match/8186230e-4374-11ef-aa4f-5f72580bf97b
"May 4, 2025",TVB Stuttgart,THW Kiel,32 - 35,28,https://www.daikin-hbl.de/en/match/81ec015a-4374-11ef-a075-210d01075aa0
"May 4, 2025",MT Melsungen,Rhein-Neckar Löwen,25 - 22,28,https://www.daikin-hbl.de/en/match/7f967813-4374-11ef-88ad-5f72580bf97b
"May 3, 2025",1. VfL Potsdam,SG Flensburg-Handewitt,26 - 34,28,https://www.daikin-hbl.de/en/match/8372c4eb-4374-11ef-8f91-7bb8010abe45
"May 2, 2025",ThSV Eisenach,TSV Hannover-Burgdorf,26 - 31,28,https://www.daikin-hbl.de/en/match/835ef9c7-4374-11ef-9528-95e83344d76f
"May 2, 2025",TBV Lemgo Lippe,VfL Gummersbach,35 - 26,28,https://www.daikin-hbl.de/en/match/80f86e58-4374-11ef-9c16-7bb8010abe45
"May 1, 2025",SC DHfK Leipzig,HSG Wetzlar,30 - 18,28,https://www.daikin-hbl.de/en/match/7e4feaf8-4374-11ef-92fc-1d6cfab56afd
"May 1, 2025",HC Erlangen,Rhein-Neckar Löwen,34 - 25,33,https://www.daikin-hbl.de/en/match/a0c8c8e3-4374-11ef-95b7-e12378ed22f2
"Apr 27, 2025",Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,31 - 30,27,https://www.daikin-hbl.de/en/match/7cae1ec2-4374-11ef-a0a7-1d6cfab56afd
"Apr 27, 2025",HSG Wetzlar,SC Magdeburg,29 - 32,27,https://www.daikin-hbl.de/en/match/7afd1fde-4374-11ef-945a-f97fb227f741
"Apr 26, 2025",SG Flensburg-Handewitt,TVB Stuttgart,32 - 27,27,https://www.daikin-hbl.de/en/match/79f41c2f-4374-11ef-8e7b-5f72580bf97b
"Apr 26, 2025",HC Erlangen,MT Melsungen,25 - 31,27,https://www.daikin-hbl.de/en/match/79c06ed5-4374-11ef-9efd-5f72580bf97b
"Apr 26, 2025",SG BBM Bietigheim,ThSV Eisenach,26 - 34,27,https://www.daikin-hbl.de/en/match/79eda390-4374-11ef-b428-a7a6ca9f38f7
"Apr 25, 2025",TSV Hannover-Burgdorf,TBV Lemgo Lippe,30 - 29,27,https://www.daikin-hbl.de/en/match/78fff79c-4374-11ef-8c76-95e83344d76f
"Apr 25, 2025",VfL Gummersbach,1. VfL Potsdam,31 - 27,27,https://www.daikin-hbl.de/en/match/7c2a7484-4374-11ef-b22a-f97fb227f741
"Apr 24, 2025",Rhein-Neckar Löwen,SC DHfK Leipzig,35 - 34,27,https://www.daikin-hbl.de/en/match/7bd96ba7-4374-11ef-8b9d-f97fb227f741
"Apr 20, 2025",Füchse Berlin,TSV Hannover-Burgdorf,37 - 33,26,https://www.daikin-hbl.de/en/match/75c3fae3-4374-11ef-ad29-5f411ff1ae1b
"Apr 19, 2025",SC Magdeburg,Rhein-Neckar Löwen,30 - 27,26,https://www.daikin-hbl.de/en/match/7446942f-4374-11ef-b92f-41ec239e163c
"Apr 19, 2025",FRISCH AUF! Göppingen,THW Kiel,29 - 36,26,https://www.daikin-hbl.de/en/match/728409b2-4374-11ef-87f4-19579898073d
"Apr 19, 2025",MT Melsungen,VfL Gummersbach,26 - 25,26,https://www.daikin-hbl.de/en/match/73035840-4374-11ef-868a-210d01075aa0
"Apr 17, 2025",1. VfL Potsdam,HSG Wetzlar,32 - 28,26,https://www.daikin-hbl.de/en/match/781755e8-4374-11ef-8fe9-07b53bf1eaa1
"Apr 17, 2025",SC DHfK Leipzig,SG Flensburg-Handewitt,31 - 33,26,https://www.daikin-hbl.de/en/match/7236d53d-4374-11ef-88a7-45dbf210b0af
"Apr 17, 2025",TBV Lemgo Lippe,Handball Sport Verein Hamburg,41 - 29,26,https://www.daikin-hbl.de/en/match/758c2c96-4374-11ef-9b57-5fab4221e9e9
"Apr 17, 2025",ThSV Eisenach,HC Erlangen,26 - 26,26,https://www.daikin-hbl.de/en/match/77c39fda-4374-11ef-ba08-210d01075aa0
"Apr 16, 2025",SC Magdeburg,TVB Stuttgart,31 - 20,24,https://www.daikin-hbl.de/en/match/67fd83c9-4374-11ef-94fe-95e83344d76f
"Apr 16, 2025",THW Kiel,Füchse Berlin,34 - 36,27,https://www.daikin-hbl.de/en/match/7dbaac5c-4374-11ef-a107-5f72580bf97b
"Apr 10, 2025",TBV Lemgo Lippe,1. VfL Potsdam,32 - 23,15,https://www.daikin-hbl.de/en/match/31022b5b-4374-11ef-83f8-d3dcc24ad385
"Apr 10, 2025",SC Magdeburg,HC Erlangen,30 - 19,17,https://www.daikin-hbl.de/en/match/3cbd90a5-4374-11ef-b2cd-07b53bf1eaa1
"Apr 6, 2025",TSV Hannover-Burgdorf,FRISCH AUF! Göppingen,30 - 36,25,https://www.daikin-hbl.de/en/match/6bdfba88-4374-11ef-af8d-e12298712692
"Apr 6, 2025",SC DHfK Leipzig,SC Magdeburg,30 - 31,25,https://www.daikin-hbl.de/en/match/6cbeaf4c-4374-11ef-81ec-a7a6ca9f38f7
"Apr 6, 2025",SG Flensburg-Handewitt,ThSV Eisenach,39 - 39,25,https://www.daikin-hbl.de/en/match/6e9af6b7-4374-11ef-be63-cd77cb69a9df
"Apr 5, 2025",THW Kiel,VfL Gummersbach,31 - 25,25,https://www.daikin-hbl.de/en/match/710a6d44-4374-11ef-b2c3-5fab4221e9e9
"Apr 5, 2025",HC Erlangen,Füchse Berlin,31 - 31,25,https://www.daikin-hbl.de/en/match/6d2fee29-4374-11ef-88fb-2722c3133e8d
"Apr 5, 2025",SG BBM Bietigheim,MT Melsungen,28 - 32,25,https://www.daikin-hbl.de/en/match/6dd926cf-4374-11ef-804c-95e83344d76f
"Apr 5, 2025",Rhein-Neckar Löwen,TBV Lemgo Lippe,33 - 26,25,https://www.daikin-hbl.de/en/match/70217f38-4374-11ef-b5b2-cd77cb69a9df
"Apr 4, 2025",HSG Wetzlar,TVB Stuttgart,26 - 28,25,https://www.daikin-hbl.de/en/match/6fbf5c74-4374-11ef-baa6-a7a6ca9f38f7
"Apr 3, 2025",Handball Sport Verein Hamburg,1. VfL Potsdam,28 - 23,25,https://www.daikin-hbl.de/en/match/7001ef9c-4374-11ef-8dcc-5fab4221e9e9
"Mar 30, 2025",Füchse Berlin,Handball Sport Verein Hamburg,40 - 35,24,https://www.daikin-hbl.de/en/match/693a10a7-4374-11ef-9678-cd77cb69a9df
"Mar 29, 2025",TBV Lemgo Lippe,SG Flensburg-Handewitt,34 - 29,24,https://www.daikin-hbl.de/en/match/68dc0816-4374-11ef-8764-2b52f9be753d
"Mar 29, 2025",1. VfL Potsdam,HC Erlangen,23 - 26,24,https://www.daikin-hbl.de/en/match/6ad3ca57-4374-11ef-a23b-e12298712692
"Mar 29, 2025",MT Melsungen,THW Kiel,27 - 22,24,https://www.daikin-hbl.de/en/match/66dd74d3-4374-11ef-9b06-2722c3133e8d
"Mar 28, 2025",FRISCH AUF! Göppingen,SC DHfK Leipzig,29 - 27,24,https://www.daikin-hbl.de/en/match/66e9aa24-4374-11ef-91c8-a7a6ca9f38f7
"Mar 28, 2025",ThSV Eisenach,Rhein-Neckar Löwen,30 - 35,24,https://www.daikin-hbl.de/en/match/6a9b2e14-4374-11ef-a3f0-e12298712692
"Mar 27, 2025",TSV Hannover-Burgdorf,SG BBM Bietigheim,32 - 18,24,https://www.daikin-hbl.de/en/match/65e21d74-4374-11ef-aead-5fab4221e9e9
