Fecha,Equipo local,Equipo visitante,Resultado,Jornada,Link
"May 3, 2024",HBW Balingen-Weilstetten,ThSV Eisenach,,,https://www.daikin-hbl.de/en/match/a9dbcf3a-3961-11ef-a72c-4f9b0a263832
"May 3, 2024",FRISCH AUF! Göppingen,SC DHfK Leipzig,,,https://www.daikin-hbl.de/en/match/a9ed289c-3961-11ef-8100-4f9b0a263832
"May 2, 2024",Handball Sport Verein Hamburg,Bergischer HC,,,https://www.daikin-hbl.de/en/match/a9c7f26d-3961-11ef-a5bf-4f9b0a263832
"May 1, 2024",HC Erlangen,MT Melsungen,,,https://www.daikin-hbl.de/en/match/aa012676-3961-11ef-8fd5-4f9b0a263832
"Apr 28, 2024",Bergischer HC,HC Erlangen,,,https://www.daikin-hbl.de/en/match/a962af51-3961-11ef-98b4-4f9b0a263832
"Apr 28, 2024",TVB Stuttgart,Handball Sport Verein Hamburg,,,https://www.daikin-hbl.de/en/match/a9763a3a-3961-11ef-a3ac-4f9b0a263832
"Apr 27, 2024",MT Melsungen,Füchse Berlin,,,https://www.daikin-hbl.de/en/match/a2959056-3961-11ef-9391-2d4c63b0970e
"Apr 27, 2024",VfL Gummersbach,HSG Wetzlar,,,https://www.daikin-hbl.de/en/match/a99f280f-3961-11ef-9224-4f9b0a263832
"Apr 26, 2024",TSV Hannover-Burgdorf,FRISCH AUF! Göppingen,,,https://www.daikin-hbl.de/en/match/a2a8a390-3961-11ef-96c3-2d4c63b0970e
"Apr 26, 2024",ThSV Eisenach,TBV Lemgo Lippe,,,https://www.daikin-hbl.de/en/match/a9b4a87f-3961-11ef-a44d-4f9b0a263832
"Apr 26, 2024",SC DHfK Leipzig,SG Flensburg-Handewitt,,,https://www.daikin-hbl.de/en/match/a9359f7e-3961-11ef-aba6-4f9b0a263832
"Apr 21, 2024",HC Erlangen,SC DHfK Leipzig,,,https://www.daikin-hbl.de/en/match/a2261d51-3961-11ef-8fdf-2d4c63b0970e
"Apr 21, 2024",Handball Sport Verein Hamburg,VfL Gummersbach,,,https://www.daikin-hbl.de/en/match/a1efdaa1-3961-11ef-ab1b-2d4c63b0970e
"Apr 21, 2024",Füchse Berlin,THW Kiel,,,https://www.daikin-hbl.de/en/match/a24a916c-3961-11ef-869a-2d4c63b0970e
"Apr 20, 2024",ThSV Eisenach,TVB Stuttgart,,,https://www.daikin-hbl.de/en/match/a2827c2a-3961-11ef-b4b6-2d4c63b0970e
"Apr 19, 2024",SG Flensburg-Handewitt,SC Magdeburg,,,https://www.daikin-hbl.de/en/match/a25cff22-3961-11ef-9364-2d4c63b0970e
"Apr 19, 2024",HBW Balingen-Weilstetten,Bergischer HC,,,https://www.daikin-hbl.de/en/match/a2029fd6-3961-11ef-a259-2d4c63b0970e
"Apr 18, 2024",FRISCH AUF! Göppingen,HSG Wetzlar,,,https://www.daikin-hbl.de/en/match/a2148f35-3961-11ef-a4e3-2d4c63b0970e
"Apr 18, 2024",TBV Lemgo Lippe,TSV Hannover-Burgdorf,,,https://www.daikin-hbl.de/en/match/a2390aae-3961-11ef-b5e8-2d4c63b0970e
"Apr 18, 2024",Rhein-Neckar Löwen,MT Melsungen,,,https://www.daikin-hbl.de/en/match/a26ef356-3961-11ef-ba2c-2d4c63b0970e
"Apr 12, 2024",Rhein-Neckar Löwen,Bergischer HC,,,https://www.daikin-hbl.de/en/match/9c431bde-3961-11ef-82af-2d4c63b0970e
"Apr 12, 2024",Handball Sport Verein Hamburg,THW Kiel,,,https://www.daikin-hbl.de/en/match/9f3ad4f1-3961-11ef-acd7-2d4c63b0970e
"Apr 12, 2024",SC DHfK Leipzig,TSV Hannover-Burgdorf,,,https://www.daikin-hbl.de/en/match/9c7b5896-3961-11ef-8428-2d4c63b0970e
"Apr 7, 2024",HSG Wetzlar,Rhein-Neckar Löwen,,,https://www.daikin-hbl.de/en/match/a1b9fc24-3961-11ef-be37-2d4c63b0970e
"Apr 7, 2024",SC DHfK Leipzig,TBV Lemgo Lippe,,,https://www.daikin-hbl.de/en/match/a172722c-3961-11ef-b2ee-2d4c63b0970e
"Apr 7, 2024",SC Magdeburg,TVB Stuttgart,,,https://www.daikin-hbl.de/en/match/a1969fbd-3961-11ef-a8a5-2d4c63b0970e
"Apr 7, 2024",Bergischer HC,ThSV Eisenach,,,https://www.daikin-hbl.de/en/match/a1a8aaab-3961-11ef-8136-2d4c63b0970e
"Apr 6, 2024",MT Melsungen,SG Flensburg-Handewitt,,,https://www.daikin-hbl.de/en/match/a14d0f02-3961-11ef-b4cb-2d4c63b0970e
"Apr 6, 2024",THW Kiel,HC Erlangen,,,https://www.daikin-hbl.de/en/match/a1cb34f1-3961-11ef-925c-2d4c63b0970e
"Apr 5, 2024",TSV Hannover-Burgdorf,Handball Sport Verein Hamburg,,,https://www.daikin-hbl.de/en/match/a16146bd-3961-11ef-888d-2d4c63b0970e
"Apr 5, 2024",VfL Gummersbach,HBW Balingen-Weilstetten,,,https://www.daikin-hbl.de/en/match/a1dd78a8-3961-11ef-afe2-2d4c63b0970e
"Apr 4, 2024",FRISCH AUF! Göppingen,Füchse Berlin,,,https://www.daikin-hbl.de/en/match/a184c5aa-3961-11ef-98c4-2d4c63b0970e
"Apr 1, 2024",Handball Sport Verein Hamburg,MT Melsungen,,,https://www.daikin-hbl.de/en/match/a09e0513-3961-11ef-a521-2d4c63b0970e
"Mar 31, 2024",TBV Lemgo Lippe,THW Kiel,,,https://www.daikin-hbl.de/en/match/a0db0c60-3961-11ef-88de-2d4c63b0970e
"Mar 31, 2024",Füchse Berlin,HSG Wetzlar,,,https://www.daikin-hbl.de/en/match/a0f11ff1-3961-11ef-bb9e-2d4c63b0970e
"Mar 31, 2024",Rhein-Neckar Löwen,FRISCH AUF! Göppingen,,,https://www.daikin-hbl.de/en/match/a11721e5-3961-11ef-a513-2d4c63b0970e
"Mar 31, 2024",ThSV Eisenach,SC Magdeburg,,,https://www.daikin-hbl.de/en/match/a13b00c9-3961-11ef-958a-2d4c63b0970e
"Mar 31, 2024",HC Erlangen,VfL Gummersbach,,,https://www.daikin-hbl.de/en/match/a0c59a68-3961-11ef-a594-2d4c63b0970e
"Mar 30, 2024",SG Flensburg-Handewitt,TSV Hannover-Burgdorf,,,https://www.daikin-hbl.de/en/match/a103c25d-3961-11ef-985e-2d4c63b0970e
"Mar 30, 2024",HBW Balingen-Weilstetten,SC DHfK Leipzig,,,https://www.daikin-hbl.de/en/match/a0b1493c-3961-11ef-b503-2d4c63b0970e
"Mar 28, 2024",TVB Stuttgart,Bergischer HC,,,https://www.daikin-hbl.de/en/match/a1298a73-3961-11ef-aa91-2d4c63b0970e
"Mar 24, 2024",Bergischer HC,SC Magdeburg,,,https://www.daikin-hbl.de/en/match/a042e407-3961-11ef-9320-2d4c63b0970e
"Mar 24, 2024",Füchse Berlin,HBW Balingen-Weilstetten,,,https://www.daikin-hbl.de/en/match/9c1b27bd-3961-11ef-9a47-2d4c63b0970e
"Mar 24, 2024",FRISCH AUF! Göppingen,HC Erlangen,,,https://www.daikin-hbl.de/en/match/a02daa65-3961-11ef-8068-2d4c63b0970e
"Mar 24, 2024",VfL Gummersbach,TVB Stuttgart,,,https://www.daikin-hbl.de/en/match/a08bd7b5-3961-11ef-9c29-2d4c63b0970e
"Mar 24, 2024",SC DHfK Leipzig,ThSV Eisenach,,,https://www.daikin-hbl.de/en/match/a0198815-3961-11ef-a438-2d4c63b0970e
"Mar 23, 2024",HSG Wetzlar,Handball Sport Verein Hamburg,,,https://www.daikin-hbl.de/en/match/a05541fc-3961-11ef-a856-2d4c63b0970e
"Mar 23, 2024",THW Kiel,SG Flensburg-Handewitt,,,https://www.daikin-hbl.de/en/match/a0799470-3961-11ef-9b02-2d4c63b0970e
"Mar 22, 2024",MT Melsungen,TBV Lemgo Lippe,,,https://www.daikin-hbl.de/en/match/9ff0ae99-3961-11ef-a721-2d4c63b0970e
"Mar 21, 2024",Rhein-Neckar Löwen,Füchse Berlin,,,https://www.daikin-hbl.de/en/match/a066ecce-3961-11ef-8dd5-2d4c63b0970e
"Mar 21, 2024",TSV Hannover-Burgdorf,HBW Balingen-Weilstetten,,,https://www.daikin-hbl.de/en/match/a00352ec-3961-11ef-af71-2d4c63b0970e
"Mar 21, 2024",SC Magdeburg,HC Erlangen,,,https://www.daikin-hbl.de/en/match/aaac9c9e-3961-11ef-854e-4f9b0a263832
"Mar 10, 2024",Bergischer HC,VfL Gummersbach,,,https://www.daikin-hbl.de/en/match/9fa6aab4-3961-11ef-8aef-2d4c63b0970e
"Mar 10, 2024",SC Magdeburg,Füchse Berlin,,,https://www.daikin-hbl.de/en/match/9f6acb31-3961-11ef-8b56-2d4c63b0970e
"Mar 10, 2024",SG Flensburg-Handewitt,FRISCH AUF! Göppingen,,,https://www.daikin-hbl.de/en/match/9fbaa5a1-3961-11ef-8053-2d4c63b0970e
"Mar 9, 2024",HC Erlangen,Rhein-Neckar Löwen,,,https://www.daikin-hbl.de/en/match/9f80c29b-3961-11ef-9b6e-2d4c63b0970e
"Mar 8, 2024",ThSV Eisenach,TSV Hannover-Burgdorf,,,https://www.daikin-hbl.de/en/match/9fddc01e-3961-11ef-8306-2d4c63b0970e
"Mar 8, 2024",HBW Balingen-Weilstetten,MT Melsungen,,,https://www.daikin-hbl.de/en/match/9f531bbf-3961-11ef-97bf-2d4c63b0970e
"Mar 7, 2024",TBV Lemgo Lippe,HSG Wetzlar,,,https://www.daikin-hbl.de/en/match/9f940036-3961-11ef-80d2-2d4c63b0970e
"Mar 7, 2024",TVB Stuttgart,SC DHfK Leipzig,,,https://www.daikin-hbl.de/en/match/9fcbf613-3961-11ef-9923-2d4c63b0970e
"Mar 4, 2024",FRISCH AUF! Göppingen,TBV Lemgo Lippe,,,https://www.daikin-hbl.de/en/match/9ebf0f66-3961-11ef-aea2-2d4c63b0970e
"Mar 3, 2024",SC DHfK Leipzig,MT Melsungen,,,https://www.daikin-hbl.de/en/match/9bb00207-3961-11ef-80d8-2d4c63b0970e
"Mar 3, 2024",Füchse Berlin,HC Erlangen,,,https://www.daikin-hbl.de/en/match/9ed42de9-3961-11ef-8fbf-2d4c63b0970e
"Mar 2, 2024",VfL Gummersbach,SC Magdeburg,,,https://www.daikin-hbl.de/en/match/9f26f109-3961-11ef-ac69-2d4c63b0970e
"Mar 2, 2024",HSG Wetzlar,SG Flensburg-Handewitt,,,https://www.daikin-hbl.de/en/match/9ee9aa6d-3961-11ef-a477-2d4c63b0970e
"Mar 2, 2024",THW Kiel,HBW Balingen-Weilstetten,,,https://www.daikin-hbl.de/en/match/9f1569f0-3961-11ef-b44e-2d4c63b0970e
"Feb 29, 2024",Rhein-Neckar Löwen,Handball Sport Verein Hamburg,,,https://www.daikin-hbl.de/en/match/9f004439-3961-11ef-902b-2d4c63b0970e
"Feb 29, 2024",MT Melsungen,ThSV Eisenach,,,https://www.daikin-hbl.de/en/match/9e84efb3-3961-11ef-a8c1-2d4c63b0970e
"Feb 29, 2024",TSV Hannover-Burgdorf,TVB Stuttgart,,,https://www.daikin-hbl.de/en/match/9e97afcf-3961-11ef-8db6-2d4c63b0970e
"Feb 29, 2024",SC DHfK Leipzig,Bergischer HC,,,https://www.daikin-hbl.de/en/match/9eab7170-3961-11ef-9bac-2d4c63b0970e
"Feb 25, 2024",Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,,,https://www.daikin-hbl.de/en/match/9dc67213-3961-11ef-a553-2d4c63b0970e
"Feb 25, 2024",THW Kiel,ThSV Eisenach,,,https://www.daikin-hbl.de/en/match/9e6e817b-3961-11ef-ab67-2d4c63b0970e
"Feb 25, 2024",SG Flensburg-Handewitt,Füchse Berlin,,,https://www.daikin-hbl.de/en/match/9e42d53c-3961-11ef-8437-2d4c63b0970e
"Feb 24, 2024",HBW Balingen-Weilstetten,Rhein-Neckar Löwen,,,https://www.daikin-hbl.de/en/match/9ddca63d-3961-11ef-803a-2d4c63b0970e
"Feb 24, 2024",HC Erlangen,HSG Wetzlar,,,https://www.daikin-hbl.de/en/match/9e054e1d-3961-11ef-9b34-2d4c63b0970e
"Feb 24, 2024",Bergischer HC,TSV Hannover-Burgdorf,,,https://www.daikin-hbl.de/en/match/9e2f37cf-3961-11ef-b39d-2d4c63b0970e
"Feb 23, 2024",TBV Lemgo Lippe,VfL Gummersbach,,,https://www.daikin-hbl.de/en/match/9e19440e-3961-11ef-990c-2d4c63b0970e
"Feb 22, 2024",TVB Stuttgart,MT Melsungen,,,https://www.daikin-hbl.de/en/match/9e59eefc-3961-11ef-8b86-2d4c63b0970e
"Feb 19, 2024",VfL Gummersbach,SC DHfK Leipzig,,,https://www.daikin-hbl.de/en/match/9db1e57e-3961-11ef-979d-2d4c63b0970e
"Feb 18, 2024",TSV Hannover-Burgdorf,SC Magdeburg,,,https://www.daikin-hbl.de/en/match/9d29f7b7-3961-11ef-bbdb-2d4c63b0970e
"Feb 18, 2024",THW Kiel,TVB Stuttgart,,,https://www.daikin-hbl.de/en/match/9d9d298c-3961-11ef-81cb-2d4c63b0970e
