,Fecha,Equipo local,Equipo visitante,Resultado,Jornada, victoria_local,goles_locales,goles_visitante,goles_totales,victoria_local,Over_60
547,08/10/2023,THW Kiel,Handball Sport Verein Hamburg,34 - 23,8,,34,23,57,1,0
548,07/10/2023,HC Erlangen,Füchse Berlin,27 - 35,8,,27,35,62,0,1
549,07/10/2023,Bergischer HC,MT Melsungen,32 - 31,8,,32,31,63,1,1
550,07/10/2023,FRISCH AUF! Göppingen,SC Magdeburg,26 - 27,8,,26,27,53,0,0
551,07/10/2023,HBW Balingen-Weilstetten,VfL Gummersbach,31 - 34,8,,31,34,65,0,1
552,01/10/2023,SC DHfK Leipzig,FRISCH AUF! Göppingen,33 - 35,7,,33,35,68,0,1
553,01/10/2023,Füchse Berlin,ThSV Eisenach,37 - 29,7,,37,29,66,1,1
554,01/10/2023,Rhein-Neckar Löwen,TVB Stuttgart,32 - 24,1,,32,24,56,1,0
555,30/09/2023,SC Magdeburg,THW Kiel,34 - 31,7,,34,31,65,1,1
556,29/09/2023,MT Melsungen,TSV Hannover-Burgdorf,34 - 26,7,,34,26,60,1,0
557,29/09/2023,Handball Sport Verein Hamburg,TBV Lemgo Lippe,37 - 33,7,,37,33,70,1,1
558,28/09/2023,VfL Gummersbach,HC Erlangen,33 - 28,7,,33,28,61,1,1
559,28/09/2023,SG Flensburg-Handewitt,Bergischer HC,33 - 28,7,,33,28,61,1,1
560,28/09/2023,Rhein-Neckar Löwen,HBW Balingen-Weilstetten,25 - 21,7,,25,21,46,1,0
561,25/09/2023,TVB Stuttgart,VfL Gummersbach,29 - 31,6,,29,31,60,0,0
562,24/09/2023,TBV Lemgo Lippe,MT Melsungen,25 - 28,6,,25,28,53,0,0
563,24/09/2023,SC DHfK Leipzig,SC Magdeburg,27 - 27,6,,27,27,54,0,0
564,24/09/2023,Handball Sport Verein Hamburg,HSG Wetzlar,30 - 25,2,,30,25,55,1,0
565,23/09/2023,HC Erlangen,ThSV Eisenach,28 - 23,6,,28,23,51,1,0
566,23/09/2023,Bergischer HC,Rhein-Neckar Löwen,29 - 31,6,,29,31,60,0,0
567,22/09/2023,TSV Hannover-Burgdorf,SG Flensburg-Handewitt,26 - 26,6,,26,26,52,0,0
568,22/09/2023,HBW Balingen-Weilstetten,Füchse Berlin,26 - 37,6,,26,37,63,0,1
569,21/09/2023,FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,27 - 32,6,,27,32,59,0,0
570,18/09/2023,Rhein-Neckar Löwen,HC Erlangen,34 - 24,5,,34,24,58,1,0
571,17/09/2023,SC Magdeburg,TBV Lemgo Lippe,35 - 28,5,,35,28,63,1,1
572,17/09/2023,HSG Wetzlar,FRISCH AUF! Göppingen,29 - 24,5,,29,24,53,1,0
573,17/09/2023,Füchse Berlin,TSV Hannover-Burgdorf,34 - 33,5,,34,33,67,1,1
574,16/09/2023,Handball Sport Verein Hamburg,SC DHfK Leipzig,35 - 34,5,,35,34,69,1,1
575,15/09/2023,ThSV Eisenach,HBW Balingen-Weilstetten,28 - 28,5,,28,28,56,0,0
576,15/09/2023,MT Melsungen,TVB Stuttgart,35 - 27,5,,35,27,62,1,1
577,14/09/2023,VfL Gummersbach,Bergischer HC,27 - 33,5,,27,33,60,0,0
578,11/09/2023,TBV Lemgo Lippe,SG Flensburg-Handewitt,31 - 31,4,,31,31,62,0,1
579,10/09/2023,TVB Stuttgart,ThSV Eisenach,28 - 22,4,,28,22,50,1,0
580,10/09/2023,SC Magdeburg,Handball Sport Verein Hamburg,35 - 24,4,,35,24,59,1,0
581,10/09/2023,TSV Hannover-Burgdorf,Rhein-Neckar Löwen,34 - 29,4,,34,29,63,1,1
582,10/09/2023,SC DHfK Leipzig,HSG Wetzlar,36 - 30,4,,36,30,66,1,1
583,10/09/2023,THW Kiel,MT Melsungen,30 - 35,4,,30,35,65,0,1
584,10/09/2023,Bergischer HC,Füchse Berlin,30 - 34,4,,30,34,64,0,1
585,09/09/2023,HBW Balingen-Weilstetten,HC Erlangen,25 - 27,4,,25,27,52,0,0
586,09/09/2023,FRISCH AUF! Göppingen,VfL Gummersbach,32 - 29,4,,32,29,61,1,1
587,07/09/2023,HSG Wetzlar,TBV Lemgo Lippe,24 - 27,3,,24,27,51,0,0
588,07/09/2023,SG Flensburg-Handewitt,THW Kiel,28 - 27,5,,28,27,55,1,0
589,07/09/2023,MT Melsungen,Handball Sport Verein Hamburg,33 - 26,3,,33,26,59,1,0
590,06/09/2023,Füchse Berlin,SC Magdeburg,31 - 26,3,,31,26,57,1,0
591,06/09/2023,HC Erlangen,Bergischer HC,28 - 27,3,,28,27,55,1,0
592,06/09/2023,VfL Gummersbach,TSV Hannover-Burgdorf,33 - 33,3,,33,33,66,0,1
593,06/09/2023,ThSV Eisenach,FRISCH AUF! Göppingen,27 - 24,3,,27,24,51,1,0
594,05/09/2023,HBW Balingen-Weilstetten,TVB Stuttgart,29 - 28,3,,29,28,57,1,0
595,03/09/2023,SC Magdeburg,SG Flensburg-Handewitt,31 - 29,2,,31,29,60,1,0
596,03/09/2023,THW Kiel,HSG Wetzlar,33 - 22,6,,33,22,55,1,0
597,03/09/2023,TBV Lemgo Lippe,HC Erlangen,28 - 27,2,,28,27,55,1,0
598,02/09/2023,MT Melsungen,SC DHfK Leipzig,28 - 27,2,,28,27,55,1,0
599,01/09/2023,TVB Stuttgart,Füchse Berlin,29 - 30,2,,29,30,59,0,0
600,01/09/2023,Bergischer HC,HBW Balingen-Weilstetten,27 - 28,2,,27,28,55,0,0
601,31/08/2023,FRISCH AUF! Göppingen,Rhein-Neckar Löwen,27 - 27,2,,27,27,54,0,0
602,31/08/2023,TSV Hannover-Burgdorf,ThSV Eisenach,31 - 30,2,,31,30,61,1,1
603,31/08/2023,THW Kiel,VfL Gummersbach,41 - 30,2,,41,30,71,1,1
604,28/08/2023,SC DHfK Leipzig,Füchse Berlin,29 - 31,1,,29,31,60,0,0
605,27/08/2023,HBW Balingen-Weilstetten,THW Kiel,25 - 36,1,,25,36,61,0,1
606,27/08/2023,VfL Gummersbach,TBV Lemgo Lippe,30 - 27,1,,30,27,57,1,0
607,27/08/2023,MT Melsungen,FRISCH AUF! Göppingen,29 - 19,1,,29,19,48,1,0
608,26/08/2023,ThSV Eisenach,Bergischer HC,31 - 30,1,,31,30,61,1,1
609,25/08/2023,HSG Wetzlar,SC Magdeburg,15 - 31,1,,15,31,46,0,0
610,24/08/2023,HC Erlangen,TSV Hannover-Burgdorf,25 - 27,1,,25,27,52,0,0
611,24/08/2023,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,37 - 32,1,,37,32,69,1,1
612,11/06/2023,Bergischer HC,HC Erlangen,29 - 30,34,,29,30,59,0,0
613,11/06/2023,ASV Hamm-Westfalen,SC DHfK Leipzig,28 - 33,34,,28,33,61,0,1
614,11/06/2023,GWD Minden,VfL Gummersbach,38 - 38,34,,38,38,76,0,1
615,11/06/2023,HSG Wetzlar,SC Magdeburg,30 - 35,34,,30,35,65,0,1
616,11/06/2023,TVB Stuttgart,TSV Hannover-Burgdorf,31 - 34,34,,31,34,65,0,1
617,11/06/2023,FRISCH AUF! Göppingen,THW Kiel,27 - 34,34,,27,34,61,0,1
618,11/06/2023,TBV Lemgo Lippe,Füchse Berlin,35 - 32,34,,35,32,67,1,1
619,11/06/2023,Handball Sport Verein Hamburg,MT Melsungen,33 - 28,34,,33,28,61,1,1
620,11/06/2023,SG Flensburg-Handewitt,Rhein-Neckar Löwen,34 - 31,34,,34,31,65,1,1
621,08/06/2023,SC Magdeburg,TVB Stuttgart,31 - 27,33,,31,27,58,1,0
622,08/06/2023,TSV Hannover-Burgdorf,GWD Minden,32 - 19,33,,32,19,51,1,0
623,08/06/2023,HC Erlangen,SG Flensburg-Handewitt,28 - 33,33,,28,33,61,0,1
624,08/06/2023,VfL Gummersbach,FRISCH AUF! Göppingen,35 - 32,33,,35,32,67,1,1
625,07/06/2023,MT Melsungen,ASV Hamm-Westfalen,30 - 29,33,,30,29,59,1,0
626,07/06/2023,THW Kiel,HSG Wetzlar,38 - 23,33,,38,23,61,1,1
627,07/06/2023,Füchse Berlin,Handball Sport Verein Hamburg,36 - 32,33,,36,32,68,1,1
628,07/06/2023,SC DHfK Leipzig,TBV Lemgo Lippe,30 - 33,33,,30,33,63,0,1
629,04/06/2023,HSG Wetzlar,MT Melsungen,25 - 27,32,,25,27,52,0,0
630,04/06/2023,Bergischer HC,THW Kiel,26 - 29,32,,26,29,55,0,0
631,04/06/2023,FRISCH AUF! Göppingen,Füchse Berlin,25 - 19,32,,25,19,44,1,0
632,04/06/2023,TVB Stuttgart,VfL Gummersbach,31 - 30,32,,31,30,61,1,1
633,04/06/2023,Rhein-Neckar Löwen,HC Erlangen,40 - 23,32,,40,23,63,1,1
634,04/06/2023,SG Flensburg-Handewitt,TSV Hannover-Burgdorf,30 - 35,32,,30,35,65,0,1
635,01/06/2023,Rhein-Neckar Löwen,Bergischer HC,39 - 29,33,,39,29,68,1,1
636,01/06/2023,GWD Minden,SC Magdeburg,30 - 44,32,,30,44,74,0,1
637,01/06/2023,Handball Sport Verein Hamburg,SC DHfK Leipzig,28 - 31,32,,28,31,59,0,0
638,01/06/2023,MT Melsungen,FRISCH AUF! Göppingen,26 - 23,31,,26,23,49,1,0
639,01/06/2023,TBV Lemgo Lippe,ASV Hamm-Westfalen,30 - 25,32,,30,25,55,1,0
640,27/05/2023,Handball Sport Verein Hamburg,THW Kiel,30 - 34,19,,30,34,64,0,1
641,25/05/2023,MT Melsungen,Rhein-Neckar Löwen,25 - 34,29,,25,34,59,0,0
642,21/05/2023,THW Kiel,HC Erlangen,35 - 26,31,,35,26,61,1,1
643,21/05/2023,TSV Hannover-Burgdorf,Rhein-Neckar Löwen,30 - 31,31,,30,31,61,0,1
644,21/05/2023,TBV Lemgo Lippe,TVB Stuttgart,29 - 24,31,,29,24,53,1,0
645,21/05/2023,SC Magdeburg,SG Flensburg-Handewitt,30 - 28,31,,30,28,58,1,0
646,20/05/2023,Füchse Berlin,GWD Minden,42 - 35,31,,42,35,77,1,1
647,18/05/2023,VfL Gummersbach,Bergischer HC,37 - 34,31,,37,34,71,1,1
648,18/05/2023,ASV Hamm-Westfalen,Handball Sport Verein Hamburg,27 - 34,31,,27,34,61,0,1
649,18/05/2023,SC DHfK Leipzig,HSG Wetzlar,38 - 29,31,,38,29,67,1,1
650,14/05/2023,GWD Minden,MT Melsungen,21 - 28,30,,21,28,49,0,0
651,14/05/2023,HC Erlangen,TSV Hannover-Burgdorf,33 - 29,30,,33,29,62,1,1
652,14/05/2023,Rhein-Neckar Löwen,SC Magdeburg,35 - 37,30,,35,37,72,0,1
653,14/05/2023,Bergischer HC,Füchse Berlin,34 - 30,30,,34,30,64,1,1
654,14/05/2023,SG Flensburg-Handewitt,VfL Gummersbach,31 - 26,30,,31,26,57,1,0
655,13/05/2023,TVB Stuttgart,THW Kiel,30 - 37,30,,30,37,67,0,1
656,13/05/2023,Handball Sport Verein Hamburg,TBV Lemgo Lippe,28 - 32,30,,28,32,60,0,0
657,11/05/2023,GWD Minden,SG Flensburg-Handewitt,27 - 41,21,,27,41,68,0,1
658,11/05/2023,Füchse Berlin,HC Erlangen,39 - 30,25,,39,30,69,1,1
659,11/05/2023,HSG Wetzlar,ASV Hamm-Westfalen,29 - 24,30,,29,24,53,1,0
660,11/05/2023,FRISCH AUF! Göppingen,SC DHfK Leipzig,34 - 30,30,,34,30,64,1,1
661,07/05/2023,Füchse Berlin,SG Flensburg-Handewitt,37 - 33,29,,37,33,70,1,1
662,07/05/2023,THW Kiel,TSV Hannover-Burgdorf,33 - 23,29,,33,23,56,1,0
663,07/05/2023,SC Magdeburg,Bergischer HC,23 - 21,29,,23,21,44,1,0
664,07/05/2023,SC DHfK Leipzig,GWD Minden,31 - 31,29,,31,31,62,0,1
665,07/05/2023,VfL Gummersbach,HC Erlangen,32 - 31,29,,32,31,63,1,1
666,07/05/2023,Handball Sport Verein Hamburg,HSG Wetzlar,24 - 21,29,,24,21,45,1,0
667,06/05/2023,ASV Hamm-Westfalen,TVB Stuttgart,27 - 27,29,,27,27,54,0,0
668,06/05/2023,TBV Lemgo Lippe,FRISCH AUF! Göppingen,36 - 33,29,,36,33,69,1,1
669,04/05/2023,SG Flensburg-Handewitt,MT Melsungen,37 - 25,28,,37,25,62,1,1
670,04/05/2023,HSG Wetzlar,TBV Lemgo Lippe,26 - 24,28,,26,24,50,1,0
671,04/05/2023,Bergischer HC,SC DHfK Leipzig,32 - 28,28,,32,28,60,1,0
672,03/05/2023,TSV Hannover-Burgdorf,VfL Gummersbach,28 - 27,28,,28,27,55,1,0
673,03/05/2023,Rhein-Neckar Löwen,THW Kiel,27 - 31,28,,27,31,58,0,0
674,03/05/2023,FRISCH AUF! Göppingen,ASV Hamm-Westfalen,39 - 32,28,,39,32,71,1,1
675,03/05/2023,TVB Stuttgart,Füchse Berlin,32 - 28,28,,32,28,60,1,0
676,03/05/2023,HC Erlangen,SC Magdeburg,23 - 38,28,,23,38,61,0,1
677,03/05/2023,GWD Minden,Handball Sport Verein Hamburg,31 - 35,28,,31,35,66,0,1
678,23/04/2023,VfL Gummersbach,HSG Wetzlar,37 - 30,27,,37,30,67,1,1
679,23/04/2023,THW Kiel,SG Flensburg-Handewitt,29 - 19,27,,29,19,48,1,0
680,23/04/2023,HC Erlangen,GWD Minden,29 - 28,20,,29,28,57,1,0
681,23/04/2023,SC Magdeburg,TSV Hannover-Burgdorf,31 - 30,27,,31,30,61,1,1
682,23/04/2023,Füchse Berlin,Rhein-Neckar Löwen,38 - 24,27,,38,24,62,1,1
683,22/04/2023,TBV Lemgo Lippe,Bergischer HC,38 - 28,27,,38,28,66,1,1
684,20/04/2023,ASV Hamm-Westfalen,GWD Minden,31 - 26,27,,31,26,57,1,0
685,20/04/2023,SC DHfK Leipzig,TVB Stuttgart,25 - 30,27,,25,30,55,0,0
686,20/04/2023,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,31 - 28,27,,31,28,59,1,0
687,20/04/2023,MT Melsungen,HC Erlangen,31 - 18,27,,31,18,49,1,0
688,09/04/2023,GWD Minden,TBV Lemgo Lippe,36 - 35,26,,36,35,71,1,1
689,09/04/2023,Rhein-Neckar Löwen,VfL Gummersbach,37 - 42,26,,37,42,79,0,1
690,09/04/2023,Bergischer HC,Handball Sport Verein Hamburg,37 - 34,26,,37,34,71,1,1
691,09/04/2023,THW Kiel,SC Magdeburg,34 - 34,26,,34,34,68,0,1
692,09/04/2023,HC Erlangen,ASV Hamm-Westfalen,37 - 27,26,,37,27,64,1,1
693,06/04/2023,SG Flensburg-Handewitt,SC DHfK Leipzig,30 - 27,26,,30,27,57,1,0
694,06/04/2023,TSV Hannover-Burgdorf,Füchse Berlin,32 - 33,26,,32,33,65,0,1
695,06/04/2023,FRISCH AUF! Göppingen,HSG Wetzlar,26 - 28,26,,26,28,54,0,0
696,06/04/2023,Bergischer HC,SC Magdeburg,34 - 38,8,,34,38,72,0,1
697,02/04/2023,SC DHfK Leipzig,TSV Hannover-Burgdorf,29 - 31,25,,29,31,60,0,0
698,02/04/2023,FRISCH AUF! Göppingen,Bergischer HC,37 - 28,25,,37,28,65,1,1
699,02/04/2023,VfL Gummersbach,THW Kiel,26 - 30,25,,26,30,56,0,0
700,02/04/2023,MT Melsungen,SC Magdeburg,27 - 27,25,,27,27,54,0,0
701,02/04/2023,Handball Sport Verein Hamburg,TVB Stuttgart,27 - 27,25,,27,27,54,0,0
702,01/04/2023,ASV Hamm-Westfalen,SG Flensburg-Handewitt,29 - 37,25,,29,37,66,0,1
703,01/04/2023,HSG Wetzlar,GWD Minden,25 - 27,25,,25,27,52,0,0
704,30/03/2023,SC DHfK Leipzig,VfL Gummersbach,30 - 34,19,,30,34,64,0,1
705,30/03/2023,TBV Lemgo Lippe,Rhein-Neckar Löwen,33 - 30,25,,33,30,63,1,1
706,30/03/2023,TVB Stuttgart,MT Melsungen,23 - 26,26,,23,26,49,0,0
707,26/03/2023,THW Kiel,Füchse Berlin,36 - 29,24,,36,29,65,1,1
708,26/03/2023,TVB Stuttgart,HSG Wetzlar,28 - 30,24,,28,30,58,0,0
709,26/03/2023,SC Magdeburg,VfL Gummersbach,41 - 29,24,,41,29,70,1,1
710,26/03/2023,SG Flensburg-Handewitt,TBV Lemgo Lippe,34 - 27,24,,34,27,61,1,1
711,26/03/2023,TSV Hannover-Burgdorf,MT Melsungen,26 - 26,24,,26,26,52,0,0
712,25/03/2023,GWD Minden,FRISCH AUF! Göppingen,27 - 27,24,,27,27,54,0,0
713,23/03/2023,Rhein-Neckar Löwen,Handball Sport Verein Hamburg,32 - 35,24,,32,35,67,0,1
714,23/03/2023,Bergischer HC,ASV Hamm-Westfalen,34 - 24,24,,34,24,58,1,0
715,23/03/2023,HC Erlangen,SC DHfK Leipzig,36 - 32,24,,36,32,68,1,1
716,19/03/2023,MT Melsungen,THW Kiel,19 - 23,23,,19,23,42,0,0
717,19/03/2023,Handball Sport Verein Hamburg,HC Erlangen,33 - 29,23,,33,29,62,1,1
718,19/03/2023,TBV Lemgo Lippe,TSV Hannover-Burgdorf,35 - 30,23,,35,30,65,1,1
719,19/03/2023,HSG Wetzlar,Bergischer HC,22 - 28,23,,22,28,50,0,0
720,19/03/2023,ASV Hamm-Westfalen,SC Magdeburg,27 - 36,23,,27,36,63,0,1
721,18/03/2023,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,27 - 27,23,,27,27,54,0,0
722,16/03/2023,TSV Hannover-Burgdorf,SC Magdeburg,34 - 31,12,,34,31,65,1,1
723,16/03/2023,Füchse Berlin,VfL Gummersbach,38 - 33,23,,38,33,71,1,1
724,16/03/2023,SC DHfK Leipzig,Rhein-Neckar Löwen,37 - 29,23,,37,29,66,1,1
725,16/03/2023,GWD Minden,TVB Stuttgart,23 - 29,23,,23,29,52,0,0
726,05/03/2023,HC Erlangen,TBV Lemgo Lippe,31 - 31,22,,31,31,62,0,1
727,05/03/2023,SC Magdeburg,Füchse Berlin,34 - 29,22,,34,29,63,1,1
728,05/03/2023,SG Flensburg-Handewitt,Handball Sport Verein Hamburg,34 - 32,22,,34,32,66,1,1
729,05/03/2023,TSV Hannover-Burgdorf,ASV Hamm-Westfalen,30 - 26,22,,30,26,56,1,0
730,05/03/2023,THW Kiel,SC DHfK Leipzig,31 - 34,22,,31,34,65,0,1
731,02/03/2023,Rhein-Neckar Löwen,HSG Wetzlar,34 - 24,22,,34,24,58,1,0
732,02/03/2023,TVB Stuttgart,FRISCH AUF! Göppingen,24 - 24,22,,24,24,48,0,0
733,02/03/2023,Bergischer HC,GWD Minden,34 - 32,22,,34,32,66,1,1
734,02/03/2023,VfL Gummersbach,MT Melsungen,31 - 23,22,,31,23,54,1,0
735,26/02/2023,SC DHfK Leipzig,SC Magdeburg,33 - 32,21,,33,32,65,1,1
736,26/02/2023,TBV Lemgo Lippe,THW Kiel,22 - 28,21,,22,28,50,0,0
737,26/02/2023,Bergischer HC,TVB Stuttgart,25 - 26,21,,25,26,51,0,0
738,26/02/2023,Füchse Berlin,MT Melsungen,35 - 25,21,,35,25,60,1,0
739,25/02/2023,FRISCH AUF! Göppingen,Rhein-Neckar Löwen,25 - 27,21,,25,27,52,0,0
740,23/02/2023,HSG Wetzlar,HC Erlangen,28 - 35,21,,28,35,63,0,1
741,23/02/2023,ASV Hamm-Westfalen,VfL Gummersbach,22 - 21,21,,22,21,43,1,0
742,23/02/2023,Handball Sport Verein Hamburg,TSV Hannover-Burgdorf,32 - 26,21,,32,26,58,1,0
743,19/02/2023,TSV Hannover-Burgdorf,FRISCH AUF! Göppingen,28 - 24,20,,28,24,52,1,0
744,19/02/2023,Rhein-Neckar Löwen,TVB Stuttgart,41 - 27,20,,41,27,68,1,1
745,19/02/2023,SC Magdeburg,Handball Sport Verein Hamburg,32 - 28,20,,32,28,60,1,0
746,19/02/2023,SG Flensburg-Handewitt,Bergischer HC,30 - 17,20,,30,17,47,1,0
747,18/02/2023,THW Kiel,ASV Hamm-Westfalen,40 - 29,20,,40,29,69,1,1
748,18/02/2023,Füchse Berlin,HSG Wetzlar,29 - 25,20,,29,25,54,1,0
749,16/02/2023,MT Melsungen,SC DHfK Leipzig,28 - 29,20,,28,29,57,0,0
750,12/02/2023,ASV Hamm-Westfalen,Füchse Berlin,29 - 32,19,,29,32,61,0,1
751,12/02/2023,TBV Lemgo Lippe,SC Magdeburg,28 - 34,19,,28,34,62,0,1
752,12/02/2023,Bergischer HC,MT Melsungen,28 - 27,19,,28,27,55,1,0
753,12/02/2023,TVB Stuttgart,SG Flensburg-Handewitt,30 - 32,19,,30,32,62,0,1
754,09/02/2023,HSG Wetzlar,TSV Hannover-Burgdorf,24 - 31,19,,24,31,55,0,0
755,09/02/2023,FRISCH AUF! Göppingen,HC Erlangen,31 - 25,19,,31,25,56,1,0
756,09/02/2023,GWD Minden,Rhein-Neckar Löwen,29 - 40,19,,29,40,69,0,1
757,09/02/2023,VfL Gummersbach,TBV Lemgo Lippe,28 - 29,20,,28,29,57,0,0
758,27/12/2022,SG Flensburg-Handewitt,HSG Wetzlar,34 - 24,18,,34,24,58,1,0
759,27/12/2022,TSV Hannover-Burgdorf,Bergischer HC,30 - 32,18,,30,32,62,0,1
760,27/12/2022,Füchse Berlin,SC DHfK Leipzig,28 - 22,18,,28,22,50,1,0
761,27/12/2022,VfL Gummersbach,Handball Sport Verein Hamburg,31 - 30,18,,31,30,61,1,1
762,27/12/2022,HC Erlangen,TVB Stuttgart,31 - 28,18,,31,28,59,1,0
763,26/12/2022,Rhein-Neckar Löwen,ASV Hamm-Westfalen,37 - 27,18,,37,27,64,1,1
764,26/12/2022,MT Melsungen,TBV Lemgo Lippe,20 - 19,18,,20,19,39,1,0
765,26/12/2022,THW Kiel,GWD Minden,36 - 29,18,,36,29,65,1,1
766,26/12/2022,SC Magdeburg,FRISCH AUF! Göppingen,33 - 29,18,,33,29,62,1,1
767,18/12/2022,SC DHfK Leipzig,Bergischer HC,27 - 32,17,,27,32,59,0,0
768,18/12/2022,SG Flensburg-Handewitt,THW Kiel,36 - 23,17,,36,23,59,1,0
769,18/12/2022,HSG Wetzlar,Rhein-Neckar Löwen,23 - 29,17,,23,29,52,0,0
770,18/12/2022,FRISCH AUF! Göppingen,TSV Hannover-Burgdorf,33 - 29,17,,33,29,62,1,1
771,18/12/2022,VfL Gummersbach,Füchse Berlin,28 - 30,17,,28,30,58,0,0
772,17/12/2022,SC Magdeburg,HC Erlangen,31 - 28,17,,31,28,59,1,0
773,15/12/2022,VfL Gummersbach,TSV Hannover-Burgdorf,27 - 34,13,,27,34,61,0,1
774,15/12/2022,MT Melsungen,GWD Minden,31 - 28,17,,31,28,59,1,0
775,15/12/2022,TVB Stuttgart,Handball Sport Verein Hamburg,22 - 28,17,,22,28,50,0,0
776,15/12/2022,ASV Hamm-Westfalen,TBV Lemgo Lippe,25 - 30,17,,25,30,55,0,0
777,11/12/2022,Rhein-Neckar Löwen,FRISCH AUF! Göppingen,36 - 33,16,,36,33,69,1,1
778,11/12/2022,Füchse Berlin,SC Magdeburg,31 - 32,16,,31,32,63,0,1
779,11/12/2022,Bergischer HC,SG Flensburg-Handewitt,18 - 31,16,,18,31,49,0,0
780,11/12/2022,THW Kiel,MT Melsungen,24 - 22,16,,24,22,46,1,0
781,11/12/2022,TSV Hannover-Burgdorf,TVB Stuttgart,27 - 22,16,,27,22,49,1,0
782,10/12/2022,GWD Minden,SC DHfK Leipzig,28 - 29,16,,28,29,57,0,0
783,08/12/2022,Handball Sport Verein Hamburg,ASV Hamm-Westfalen,32 - 25,16,,32,25,57,1,0
784,08/12/2022,TBV Lemgo Lippe,HSG Wetzlar,34 - 29,16,,34,29,63,1,1
785,08/12/2022,HC Erlangen,VfL Gummersbach,31 - 37,16,,31,37,68,0,1
786,04/12/2022,SC DHfK Leipzig,SG Flensburg-Handewitt,31 - 30,15,,31,30,61,1,1
787,04/12/2022,SC Magdeburg,TBV Lemgo Lippe,37 - 33,15,,37,33,70,1,1
788,04/12/2022,MT Melsungen,Bergischer HC,22 - 22,15,,22,22,44,0,0
789,04/12/2022,ASV Hamm-Westfalen,TSV Hannover-Burgdorf,29 - 29,15,,29,29,58,0,0
790,04/12/2022,HSG Wetzlar,THW Kiel,25 - 31,15,,25,31,56,0,0
791,03/12/2022,HC Erlangen,Füchse Berlin,28 - 30,15,,28,30,58,0,0
792,01/12/2022,FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,26 - 26,15,,26,26,52,0,0
793,01/12/2022,TVB Stuttgart,GWD Minden,27 - 23,15,,27,23,50,1,0
794,01/12/2022,VfL Gummersbach,Rhein-Neckar Löwen,29 - 32,15,,29,32,61,0,1
795,27/11/2022,Bergischer HC,FRISCH AUF! Göppingen,28 - 26,14,,28,26,54,1,0
796,27/11/2022,Handball Sport Verein Hamburg,SC Magdeburg,28 - 30,14,,28,30,58,0,0
797,27/11/2022,THW Kiel,VfL Gummersbach,31 - 28,14,,31,28,59,1,0
798,27/11/2022,TBV Lemgo Lippe,HC Erlangen,34 - 27,14,,34,27,61,1,1
799,27/11/2022,SG Flensburg-Handewitt,TVB Stuttgart,29 - 25,14,,29,25,54,1,0
800,24/11/2022,TSV Hannover-Burgdorf,HSG Wetzlar,23 - 26,14,,23,26,49,0,0
801,24/11/2022,GWD Minden,ASV Hamm-Westfalen,32 - 23,14,,32,23,55,1,0
802,24/11/2022,SC DHfK Leipzig,MT Melsungen,40 - 33,14,,40,33,73,1,1
803,24/11/2022,Rhein-Neckar Löwen,Füchse Berlin,32 - 34,14,,32,34,66,0,1
804,20/11/2022,Füchse Berlin,TBV Lemgo Lippe,32 - 26,13,,32,26,58,1,0
805,20/11/2022,MT Melsungen,SG Flensburg-Handewitt,25 - 25,13,,25,25,50,0,0
806,20/11/2022,TVB Stuttgart,SC DHfK Leipzig,26 - 33,13,,26,33,59,0,0
807,19/11/2022,HSG Wetzlar,Handball Sport Verein Hamburg,28 - 30,13,,28,30,58,0,0
808,19/11/2022,HC Erlangen,Rhein-Neckar Löwen,30 - 33,13,,30,33,63,0,1
809,19/11/2022,ASV Hamm-Westfalen,Bergischer HC,27 - 31,13,,27,31,58,0,0
810,19/11/2022,SC Magdeburg,THW Kiel,33 - 34,13,,33,34,67,0,1
811,17/11/2022,FRISCH AUF! Göppingen,GWD Minden,26 - 29,13,,26,29,55,0,0
812,16/11/2022,TVB Stuttgart,SC Magdeburg,28 - 32,10,,28,32,60,0,0
813,16/11/2022,HC Erlangen,THW Kiel,27 - 34,9,,27,34,61,0,1
814,13/11/2022,SC DHfK Leipzig,ASV Hamm-Westfalen,33 - 23,12,,33,23,56,1,0
815,13/11/2022,Handball Sport Verein Hamburg,Füchse Berlin,28 - 37,12,,28,37,65,0,1
816,13/11/2022,THW Kiel,FRISCH AUF! Göppingen,30 - 26,12,,30,26,56,1,0
817,13/11/2022,MT Melsungen,TVB Stuttgart,33 - 26,12,,33,26,59,1,0
818,13/11/2022,Bergischer HC,VfL Gummersbach,30 - 30,12,,30,30,60,0,0
819,13/11/2022,GWD Minden,HSG Wetzlar,26 - 29,12,,26,29,55,0,0
820,13/11/2022,Rhein-Neckar Löwen,TBV Lemgo Lippe,37 - 28,12,,37,28,65,1,1
821,12/11/2022,SG Flensburg-Handewitt,HC Erlangen,31 - 29,12,,31,29,60,1,0
822,10/11/2022,Füchse Berlin,TSV Hannover-Burgdorf,32 - 30,11,,32,30,62,1,1
823,10/11/2022,VfL Gummersbach,SG Flensburg-Handewitt,31 - 29,11,,31,29,60,1,0
824,10/11/2022,TBV Lemgo Lippe,GWD Minden,30 - 27,11,,30,27,57,1,0
