,Fecha,Equipo local,Equipo visitante,Resultado,Jornada, victoria_local,goles_locales,goles_visitante,goles_totales,victoria_local,Over_60
111,20/03/2025,Handball Sport Verein Hamburg,MT Melsungen,42 - 32,23,,42,32,74,1,1
112,20/03/2025,Rhein-Neckar Löwen,TSV Hannover-Burgdorf,35 - 36,23,,35,36,71,0,1
113,09/03/2025,TSV Hannover-Burgdorf,Handball Sport Verein Hamburg,33 - 32,22,,33,32,65,1,1
114,09/03/2025,THW Kiel,Rhein-Neckar Löwen,29 - 24,22,,29,24,53,1,0
115,09/03/2025,Füchse Berlin,HSG Wetzlar,38 - 29,22,,38,29,67,1,1
116,08/03/2025,ThSV Eisenach,SC Magdeburg,26 - 36,22,,26,36,62,0,1
117,08/03/2025,FRISCH AUF! Göppingen,SG Flensburg-Handewitt,27 - 27,22,,27,27,54,0,0
118,07/03/2025,MT Melsungen,SC DHfK Leipzig,34 - 25,22,,34,25,59,1,0
119,07/03/2025,VfL Gummersbach,SG BBM Bietigheim,37 - 27,22,,37,27,64,1,1
120,06/03/2025,TBV Lemgo Lippe,HC Erlangen,30 - 24,22,,30,24,54,1,0
121,06/03/2025,1. VfL Potsdam,TVB Stuttgart,28 - 25,22,,28,25,53,1,0
122,02/03/2025,HC Erlangen,TSV Hannover-Burgdorf,33 - 33,21,,33,33,66,0,1
123,02/03/2025,SC Magdeburg,1. VfL Potsdam,25 - 15,21,,25,15,40,1,0
124,02/03/2025,SC DHfK Leipzig,Füchse Berlin,30 - 33,21,,30,33,63,0,1
125,01/03/2025,SG Flensburg-Handewitt,MT Melsungen,35 - 33,21,,35,33,68,1,1
126,28/02/2025,SG BBM Bietigheim,THW Kiel,24 - 39,21,,24,39,63,0,1
127,27/02/2025,HSG Wetzlar,ThSV Eisenach,30 - 31,21,,30,31,61,0,1
128,27/02/2025,SC DHfK Leipzig,1. VfL Potsdam,32 - 19,19,,32,19,51,1,0
129,27/02/2025,TVB Stuttgart,TBV Lemgo Lippe,23 - 26,21,,23,26,49,0,0
130,27/02/2025,Handball Sport Verein Hamburg,VfL Gummersbach,30 - 37,21,,30,37,67,0,1
131,26/02/2025,Rhein-Neckar Löwen,FRISCH AUF! Göppingen,29 - 28,21,,29,28,57,1,0
132,23/02/2025,Füchse Berlin,SG Flensburg-Handewitt,36 - 31,20,,36,31,67,1,1
133,23/02/2025,FRISCH AUF! Göppingen,SC Magdeburg,25 - 28,20,,25,28,53,0,0
134,22/02/2025,TSV Hannover-Burgdorf,HSG Wetzlar,34 - 32,20,,34,32,66,1,1
135,22/02/2025,VfL Gummersbach,Rhein-Neckar Löwen,36 - 25,20,,36,25,61,1,1
136,22/02/2025,MT Melsungen,TVB Stuttgart,35 - 29,20,,35,29,64,1,1
137,21/02/2025,1. VfL Potsdam,TBV Lemgo Lippe,21 - 22,20,,21,22,43,0,0
138,21/02/2025,ThSV Eisenach,SC DHfK Leipzig,34 - 34,20,,34,34,68,0,1
139,20/02/2025,Handball Sport Verein Hamburg,SG BBM Bietigheim,37 - 36,20,,37,36,73,1,1
140,20/02/2025,THW Kiel,HC Erlangen,28 - 24,20,,28,24,52,1,0
141,17/02/2025,FRISCH AUF! Göppingen,ThSV Eisenach,31 - 27,19,,31,27,58,1,0
142,16/02/2025,HC Erlangen,Handball Sport Verein Hamburg,29 - 35,19,,29,35,64,0,1
143,16/02/2025,TBV Lemgo Lippe,Füchse Berlin,25 - 25,19,,25,25,50,0,0
144,16/02/2025,HSG Wetzlar,THW Kiel,27 - 25,19,,27,25,52,1,0
145,16/02/2025,SC Magdeburg,MT Melsungen,29 - 28,19,,29,28,57,1,0
146,15/02/2025,SG Flensburg-Handewitt,VfL Gummersbach,35 - 30,19,,35,30,65,1,1
147,13/02/2025,Rhein-Neckar Löwen,SG BBM Bietigheim,36 - 30,19,,36,30,66,1,1
148,13/02/2025,TVB Stuttgart,TSV Hannover-Burgdorf,27 - 35,19,,27,35,62,0,1
149,10/02/2025,ThSV Eisenach,TBV Lemgo Lippe,34 - 31,18,,34,31,65,1,1
150,09/02/2025,HC Erlangen,SG Flensburg-Handewitt,26 - 32,18,,26,32,58,0,0
151,09/02/2025,TSV Hannover-Burgdorf,SC DHfK Leipzig,24 - 23,18,,24,23,47,1,0
152,09/02/2025,Füchse Berlin,1. VfL Potsdam,36 - 19,18,,36,19,55,1,0
153,09/02/2025,Handball Sport Verein Hamburg,Rhein-Neckar Löwen,30 - 30,18,,30,30,60,0,0
154,09/02/2025,SG BBM Bietigheim,HSG Wetzlar,27 - 28,18,,27,28,55,0,0
155,08/02/2025,VfL Gummersbach,TVB Stuttgart,36 - 29,18,,36,29,65,1,1
156,08/02/2025,THW Kiel,SC Magdeburg,31 - 25,18,,31,25,56,1,0
157,08/02/2025,MT Melsungen,FRISCH AUF! Göppingen,30 - 23,18,,30,23,53,1,0
158,27/12/2024,SC DHfK Leipzig,TSV Hannover-Burgdorf,30 - 32,17,,30,32,62,0,1
159,27/12/2024,SG Flensburg-Handewitt,SG BBM Bietigheim,39 - 27,17,,39,27,66,1,1
160,27/12/2024,FRISCH AUF! Göppingen,MT Melsungen,25 - 29,17,,25,29,54,0,0
161,27/12/2024,TVB Stuttgart,1. VfL Potsdam,29 - 24,17,,29,24,53,1,0
162,26/12/2024,VfL Gummersbach,Füchse Berlin,22 - 29,17,,22,29,51,0,0
163,26/12/2024,TBV Lemgo Lippe,THW Kiel,22 - 23,17,,22,23,45,0,0
164,26/12/2024,Rhein-Neckar Löwen,HSG Wetzlar,32 - 27,17,,32,27,59,1,0
165,26/12/2024,ThSV Eisenach,Handball Sport Verein Hamburg,32 - 31,17,,32,31,63,1,1
166,23/12/2024,TVB Stuttgart,Rhein-Neckar Löwen,25 - 28,16,,25,28,53,0,0
167,23/12/2024,1. VfL Potsdam,SC DHfK Leipzig,26 - 35,16,,26,35,61,0,1
168,23/12/2024,MT Melsungen,TSV Hannover-Burgdorf,31 - 23,16,,31,23,54,1,0
169,22/12/2024,Füchse Berlin,FRISCH AUF! Göppingen,35 - 23,16,,35,23,58,1,0
170,22/12/2024,THW Kiel,SG BBM Bietigheim,38 - 29,16,,38,29,67,1,1
171,22/12/2024,Handball Sport Verein Hamburg,SG Flensburg-Handewitt,32 - 32,16,,32,32,64,0,1
172,22/12/2024,HC Erlangen,TBV Lemgo Lippe,19 - 28,16,,19,28,47,0,0
173,22/12/2024,HSG Wetzlar,VfL Gummersbach,32 - 29,16,,32,29,61,1,1
174,16/12/2024,SG Flensburg-Handewitt,Füchse Berlin,38 - 37,15,,38,37,75,1,1
175,16/12/2024,VfL Gummersbach,MT Melsungen,24 - 29,15,,24,29,53,0,0
176,15/12/2024,TSV Hannover-Burgdorf,HC Erlangen,31 - 25,15,,31,25,56,1,0
177,15/12/2024,FRISCH AUF! Göppingen,HSG Wetzlar,27 - 24,15,,27,24,51,1,0
178,15/12/2024,Rhein-Neckar Löwen,SC Magdeburg,25 - 36,15,,25,36,61,0,1
179,14/12/2024,SC DHfK Leipzig,THW Kiel,28 - 32,15,,28,32,60,0,0
180,14/12/2024,SG BBM Bietigheim,Handball Sport Verein Hamburg,29 - 35,15,,29,35,64,0,1
181,14/12/2024,ThSV Eisenach,TVB Stuttgart,25 - 29,15,,25,29,54,0,0
182,12/12/2024,Rhein-Neckar Löwen,SG Flensburg-Handewitt,31 - 29,14,,31,29,60,1,0
183,12/12/2024,Füchse Berlin,TBV Lemgo Lippe,33 - 21,14,,33,21,54,1,0
184,11/12/2024,HSG Wetzlar,SC DHfK Leipzig,31 - 30,14,,31,30,61,1,1
185,11/12/2024,THW Kiel,TSV Hannover-Burgdorf,28 - 24,14,,28,24,52,1,0
186,11/12/2024,1. VfL Potsdam,ThSV Eisenach,26 - 31,14,,26,31,57,0,0
187,11/12/2024,MT Melsungen,Handball Sport Verein Hamburg,35 - 28,14,,35,28,63,1,1
188,11/12/2024,SC Magdeburg,VfL Gummersbach,37 - 28,14,,37,28,65,1,1
189,09/12/2024,SG BBM Bietigheim,TVB Stuttgart,29 - 30,13,,29,30,59,0,0
190,08/12/2024,FRISCH AUF! Göppingen,TBV Lemgo Lippe,29 - 22,13,,29,22,51,1,0
191,08/12/2024,VfL Gummersbach,HC Erlangen,28 - 24,13,,28,24,52,1,0
192,08/12/2024,Handball Sport Verein Hamburg,SC DHfK Leipzig,33 - 32,13,,33,32,65,1,1
193,08/12/2024,ThSV Eisenach,THW Kiel,33 - 37,13,,33,37,70,0,1
194,08/12/2024,Füchse Berlin,SC Magdeburg,31 - 31,13,,31,31,62,0,1
195,07/12/2024,HSG Wetzlar,MT Melsungen,27 - 29,13,,27,29,56,0,0
196,06/12/2024,SG Flensburg-Handewitt,1. VfL Potsdam,39 - 22,13,,39,22,61,1,1
197,06/12/2024,TSV Hannover-Burgdorf,Rhein-Neckar Löwen,35 - 30,13,,35,30,65,1,1
198,05/12/2024,TVB Stuttgart,FRISCH AUF! Göppingen,30 - 26,14,,30,26,56,1,0
199,05/12/2024,HC Erlangen,SG BBM Bietigheim,25 - 25,14,,25,25,50,0,0
200,01/12/2024,SC Magdeburg,SG BBM Bietigheim,35 - 26,12,,35,26,61,1,1
201,01/12/2024,TBV Lemgo Lippe,TSV Hannover-Burgdorf,22 - 31,12,,22,31,53,0,0
202,01/12/2024,1. VfL Potsdam,Füchse Berlin,26 - 36,12,,26,36,62,0,1
203,30/11/2024,THW Kiel,HSG Wetzlar,35 - 24,12,,35,24,59,1,0
204,29/11/2024,MT Melsungen,SG Flensburg-Handewitt,33 - 24,12,,33,24,57,1,0
205,29/11/2024,HC Erlangen,FRISCH AUF! Göppingen,28 - 24,12,,28,24,52,1,0
206,28/11/2024,SC DHfK Leipzig,ThSV Eisenach,31 - 36,12,,31,36,67,0,1
207,28/11/2024,TVB Stuttgart,Handball Sport Verein Hamburg,27 - 28,12,,27,28,55,0,0
208,25/11/2024,HSG Wetzlar,1. VfL Potsdam,26 - 18,11,,26,18,44,1,0
209,24/11/2024,Füchse Berlin,TVB Stuttgart,33 - 29,11,,33,29,62,1,1
210,24/11/2024,Handball Sport Verein Hamburg,HC Erlangen,28 - 27,11,,28,27,55,1,0
211,23/11/2024,SG Flensburg-Handewitt,TBV Lemgo Lippe,36 - 27,11,,36,27,63,1,1
