Fecha,Equipo local,Equipo visitante,Equipo,Tipo,Link,jugadores_#,jugadores_G,jugadores_T%,jugadores_MSh,jugadores_7M,jugadores_FG,jugadores_A,jugadores_B,jugadores_St,jugadores_2Min,jugadores_TF,jugadores_RC,porteros_#,porteros_S,porteros_S%,porteros_GKGA,porteros_S 7M,porteros_S% 7M,porteros_S FSh,porteros_S% FG,porteros_G,porteros_A,porteros_2Min,porteros_RC,id_partido,goles_local,goles_visitante,victoria_local
2024-06-02,SC DHfK Leipzig,Rhein-Neckar Löwen,Rhein-Neckar Löwen,visitante,https://www.daikin-hbl.de/en/match/abe52150-3961-11ef-b745-4f9b0a263832,363.0,24.0,429.0,6.0,5.0,19.0,7.0,0.0,1.0,3.0,13.0,0.0,65.0,14.0,33.0,29.0,1.0,33.0,13.0,32.0,0.0,0.0,0.0,0.0,607,29.0,30.0,
2024-06-02,HBW Balingen-Weilstetten,Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,visitante,https://www.daikin-hbl.de/en/match/abfa0098-3961-11ef-af12-4f9b0a263832,361.0,30.0,793.0,3.0,1.0,29.0,11.0,1.0,0.0,2.0,8.0,0.0,13.0,7.0,32.0,37.0,0.0,0.0,7.0,36.0,0.0,0.0,0.0,0.0,606,37.0,24.0,
2024-06-02,VfL Gummersbach,FRISCH AUF! Göppingen,VfL Gummersbach,local,https://www.daikin-hbl.de/en/match/ac42a8d5-3961-11ef-ae9d-4f9b0a263832,251.0,33.0,879.0,1.0,3.0,30.0,16.0,2.0,2.0,3.0,16.0,0.0,28.0,14.0,36.0,28.0,1.0,50.0,13.0,35.0,0.0,0.0,0.0,0.0,608,33.0,34.0,0.0
2024-06-02,SC Magdeburg,HSG Wetzlar,HSG Wetzlar,visitante,https://www.daikin-hbl.de/en/match/ac0abccc-3961-11ef-800e-4f9b0a263832,380.0,34.0,934.0,2.0,5.0,29.0,12.0,2.0,2.0,6.0,10.0,0.0,27.0,8.0,39.0,34.0,0.0,0.0,8.0,39.0,0.0,0.0,0.0,0.0,609,37.0,32.0,
2024-06-02,ThSV Eisenach,Füchse Berlin,Füchse Berlin,visitante,https://www.daikin-hbl.de/en/match/ac5475b3-3961-11ef-8dcc-4f9b0a263832,332.0,31.0,597.0,5.0,3.0,28.0,14.0,1.0,1.0,1.0,12.0,0.0,183.0,11.0,30.0,26.0,2.0,50.0,9.0,27.0,0.0,0.0,0.0,0.0,610,27.0,31.0,
2024-06-02,ThSV Eisenach,Füchse Berlin,ThSV Eisenach,local,https://www.daikin-hbl.de/en/match/ac5475b3-3961-11ef-8dcc-4f9b0a263832,479.0,27.0,486.0,8.0,2.0,25.0,9.0,1.0,0.0,4.0,9.0,0.0,17.0,8.0,25.0,27.0,0.0,0.0,8.0,27.0,0.0,0.0,0.0,0.0,610,27.0,31.0,0.0
2024-06-02,VfL Gummersbach,FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,visitante,https://www.daikin-hbl.de/en/match/ac42a8d5-3961-11ef-ae9d-4f9b0a263832,368.0,32.0,826.0,4.0,1.0,31.0,10.0,3.0,3.0,3.0,10.0,0.0,28.0,8.0,40.0,32.0,0.0,0.0,8.0,43.0,0.0,0.0,0.0,0.0,608,33.0,34.0,
2024-06-02,SC Magdeburg,HSG Wetzlar,SC Magdeburg,local,https://www.daikin-hbl.de/en/match/ac0abccc-3961-11ef-800e-4f9b0a263832,247.0,37.0,849.0,5.0,0.0,37.0,16.0,0.0,4.0,2.0,12.0,0.0,86.0,15.0,66.0,33.0,0.0,0.0,15.0,76.0,0.0,1.0,0.0,0.0,609,37.0,32.0,1.0
2024-06-02,TVB Stuttgart,TBV Lemgo Lippe,TVB Stuttgart,local,https://www.daikin-hbl.de/en/match/ac2f87ad-3961-11ef-81db-4f9b0a263832,239.0,25.0,613.0,2.0,2.0,23.0,4.0,1.0,2.0,3.0,6.0,0.0,28.0,10.0,29.0,26.0,0.0,0.0,10.0,32.0,0.0,2.0,0.0,0.0,611,25.0,40.0,0.0
2024-06-02,Bergischer HC,SG Flensburg-Handewitt,SG Flensburg-Handewitt,visitante,https://www.daikin-hbl.de/en/match/ac1cb5ca-3961-11ef-99d5-4f9b0a263832,374.0,40.0,921.0,2.0,1.0,39.0,13.0,4.0,1.0,2.0,9.0,0.0,21.0,18.0,38.0,29.0,4.0,100.0,14.0,33.0,0.0,0.0,0.0,0.0,612,30.0,27.0,
2024-06-02,Bergischer HC,SG Flensburg-Handewitt,Bergischer HC,local,https://www.daikin-hbl.de/en/match/ac1cb5ca-3961-11ef-99d5-4f9b0a263832,250.0,30.0,683.0,3.0,0.0,30.0,11.0,1.0,0.0,4.0,9.0,0.0,13.0,9.0,30.0,40.0,0.0,0.0,9.0,31.0,0.0,0.0,0.0,0.0,612,30.0,27.0,1.0
2024-06-02,TVB Stuttgart,TBV Lemgo Lippe,TBV Lemgo Lippe,visitante,https://www.daikin-hbl.de/en/match/ac2f87ad-3961-11ef-81db-4f9b0a263832,220.0,27.0,603.0,2.0,5.0,22.0,10.0,1.0,2.0,3.0,10.0,0.0,119.0,12.0,33.0,28.0,0.0,0.0,12.0,35.0,0.0,0.0,0.0,0.0,611,25.0,40.0,
2024-09-05,Rhein-Neckar Löwen,THW Kiel,Rhein-Neckar Löwen,local,https://www.daikin-hbl.de/en/match/d0f835ea-4373-11ef-a915-811a78587cbc,259.0,32.0,413.0,17.0,2.0,30.0,8.0,4.0,1.0,4.0,7.0,0.0,30.0,13.0,34.0,25.0,1.0,50.0,12.0,33.0,0.0,0.0,0.0,0.0,613,32.0,27.0,1.0
2024-09-05,Rhein-Neckar Löwen,THW Kiel,THW Kiel,visitante,https://www.daikin-hbl.de/en/match/d0f835ea-4373-11ef-a915-811a78587cbc,397.0,27.0,407.0,24.0,1.0,26.0,10.0,1.0,2.0,3.0,9.0,1.0,67.0,15.0,33.0,30.0,2.0,50.0,13.0,32.0,0.0,0.0,0.0,0.0,613,32.0,27.0,
2024-09-05,TSV Hannover-Burgdorf,VfL Gummersbach,TSV Hannover-Burgdorf,local,https://www.daikin-hbl.de/en/match/ccdbc62f-4373-11ef-8506-0f9723377f57,450.0,28.0,576.0,23.0,6.0,22.0,6.0,2.0,3.0,6.0,7.0,0.0,51.0,12.0,59.0,29.0,1.0,25.0,11.0,66.0,0.0,1.0,0.0,0.0,614,28.0,32.0,0.0
2024-09-05,TSV Hannover-Burgdorf,VfL Gummersbach,VfL Gummersbach,visitante,https://www.daikin-hbl.de/en/match/ccdbc62f-4373-11ef-8506-0f9723377f57,227.0,32.0,795.0,15.0,6.0,26.0,12.0,1.0,4.0,4.0,10.0,1.0,17.0,19.0,90.0,28.0,2.0,67.0,17.0,44.0,0.0,0.0,0.0,0.0,614,28.0,32.0,
2024-09-05,TBV Lemgo Lippe,MT Melsungen,TBV Lemgo Lippe,local,https://www.daikin-hbl.de/en/match/cee2c85c-4373-11ef-94e2-cd77cb69a9df,223.0,19.0,507.0,19.0,2.0,17.0,5.0,2.0,0.0,3.0,11.0,0.0,100.0,14.0,36.0,25.0,1.0,50.0,13.0,35.0,1.0,0.0,0.0,0.0,615,19.0,28.0,0.0
2024-09-05,TBV Lemgo Lippe,MT Melsungen,MT Melsungen,visitante,https://www.daikin-hbl.de/en/match/cee2c85c-4373-11ef-94e2-cd77cb69a9df,417.0,28.0,566.0,18.0,1.0,27.0,10.0,2.0,3.0,4.0,10.0,0.0,17.0,14.0,95.0,19.0,1.0,33.0,13.0,96.0,0.0,0.0,0.0,0.0,615,19.0,28.0,
2024-09-06,FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,local,https://www.daikin-hbl.de/en/match/d1f5d36c-4373-11ef-ada8-811a78587cbc,312.0,25.0,570.0,12.0,2.0,23.0,11.0,1.0,2.0,4.0,9.0,0.0,28.0,7.0,44.0,25.0,1.0,33.0,6.0,46.0,0.0,0.0,0.0,0.0,616,25.0,28.0,0.0
2024-09-06,SG Flensburg-Handewitt,HC Erlangen,HC Erlangen,visitante,https://www.daikin-hbl.de/en/match/d3e126de-4373-11ef-9661-2f970b50aee5,504.0,28.0,714.0,19.0,3.0,25.0,8.0,2.0,1.0,1.0,12.0,0.0,118.0,8.0,32.0,42.0,0.0,0.0,8.0,33.0,0.0,1.0,0.0,0.0,617,42.0,25.0,
2024-09-06,SG Flensburg-Handewitt,HC Erlangen,SG Flensburg-Handewitt,local,https://www.daikin-hbl.de/en/match/d3e126de-4373-11ef-9661-2f970b50aee5,354.0,42.0,1059.0,12.0,1.0,41.0,16.0,0.0,4.0,1.0,8.0,0.0,21.0,14.0,65.0,28.0,0.0,0.0,14.0,70.0,0.0,2.0,0.0,0.0,617,42.0,25.0,1.0
2024-09-06,FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,visitante,https://www.daikin-hbl.de/en/match/d1f5d36c-4373-11ef-ada8-811a78587cbc,263.0,25.0,597.0,13.0,5.0,20.0,7.0,0.0,1.0,4.0,8.0,0.0,33.0,8.0,55.0,24.0,0.0,0.0,8.0,60.0,0.0,0.0,0.0,0.0,616,25.0,28.0,
